timestamp,source_file,level,indicator_tags,ip_src,ip_dst,service,message,line_number
1900-06-14 15:16:01,Linux_2k.log,INFO,error;security,218.188.2.4,,,combo sshd(pam_unix)[19939]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=,1
1900-06-14 15:16:02,Linux_2k.log,INFO,,,,,combo sshd(pam_unix)[19937]: check pass; user unknown,2
1900-06-14 15:16:02,Linux_2k.log,INFO,error;security,218.188.2.4,,,combo sshd(pam_unix)[19937]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=,3
1900-06-15 02:04:59,Linux_2k.log,INFO,error;security,,,,combo sshd(pam_unix)[20882]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net user=root,4
1900-06-15 02:04:59,Linux_2k.log,INFO,error;security,,,,combo sshd(pam_unix)[20884]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net user=root,5
1900-06-15 02:04:59,Linux_2k.log,INFO,error;security,,,,combo sshd(pam_unix)[20883]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net user=root,6
1900-06-15 02:04:59,Linux_2k.log,INFO,error;security,,,,combo sshd(pam_unix)[20885]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net user=root,7
1900-06-15 02:04:59,Linux_2k.log,INFO,error;security,,,,combo sshd(pam_unix)[20886]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net user=root,8
1900-06-15 02:04:59,Linux_2k.log,INFO,error;security,,,,combo sshd(pam_unix)[20892]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net user=root,9
1900-06-15 02:04:59,Linux_2k.log,INFO,error;security,,,,combo sshd(pam_unix)[20893]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net user=root,10
1900-06-15 02:04:59,Linux_2k.log,INFO,error;security,,,,combo sshd(pam_unix)[20896]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net user=root,11
1900-06-15 02:04:59,Linux_2k.log,INFO,error;security,,,,combo sshd(pam_unix)[20897]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net user=root,12
1900-06-15 02:04:59,Linux_2k.log,INFO,error;security,,,,combo sshd(pam_unix)[20898]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net user=root,13
1900-06-15 04:06:18,Linux_2k.log,INFO,,,,,combo su(pam_unix)[21416]: session opened for user cyrus by (uid=0),14
1900-06-15 04:06:19,Linux_2k.log,INFO,,,,,combo su(pam_unix)[21416]: session closed for user cyrus,15
1900-06-15 04:06:20,Linux_2k.log,INFO,,,,,combo logrotate: ALERT exited abnormally with [1],16
1900-06-15 04:12:42,Linux_2k.log,INFO,,,,,combo su(pam_unix)[22644]: session opened for user news by (uid=0),17
1900-06-15 04:12:43,Linux_2k.log,INFO,,,,,combo su(pam_unix)[22644]: session closed for user news,18
1900-06-15 12:12:34,Linux_2k.log,INFO,,,,,combo sshd(pam_unix)[23397]: check pass; user unknown,19
1900-06-15 12:12:34,Linux_2k.log,INFO,error;security,218.188.2.4,,,combo sshd(pam_unix)[23397]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=,20
1900-06-15 12:12:34,Linux_2k.log,INFO,,,,,combo sshd(pam_unix)[23395]: check pass; user unknown,21
1900-06-15 12:12:34,Linux_2k.log,INFO,error;security,218.188.2.4,,,combo sshd(pam_unix)[23395]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=,22
1900-06-15 12:12:34,Linux_2k.log,INFO,,,,,combo sshd(pam_unix)[23404]: check pass; user unknown,23
1900-06-15 12:12:34,Linux_2k.log,INFO,error;security,218.188.2.4,,,combo sshd(pam_unix)[23404]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=,24
1900-06-15 12:12:34,Linux_2k.log,INFO,,,,,combo sshd(pam_unix)[23399]: check pass; user unknown,25
1900-06-15 12:12:34,Linux_2k.log,INFO,error;security,218.188.2.4,,,combo sshd(pam_unix)[23399]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=,26
1900-06-15 12:12:34,Linux_2k.log,INFO,,,,,combo sshd(pam_unix)[23406]: check pass; user unknown,27
1900-06-15 12:12:34,Linux_2k.log,INFO,error;security,218.188.2.4,,,combo sshd(pam_unix)[23406]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=,28
1900-06-15 12:12:34,Linux_2k.log,INFO,,,,,combo sshd(pam_unix)[23396]: check pass; user unknown,29
1900-06-15 12:12:34,Linux_2k.log,INFO,,,,,combo sshd(pam_unix)[23394]: check pass; user unknown,30
1900-06-15 12:12:34,Linux_2k.log,INFO,,,,,combo sshd(pam_unix)[23407]: check pass; user unknown,31
1900-06-15 12:12:34,Linux_2k.log,INFO,error;security,218.188.2.4,,,combo sshd(pam_unix)[23394]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=,32
1900-06-15 12:12:34,Linux_2k.log,INFO,,,,,combo sshd(pam_unix)[23403]: check pass; user unknown,33
1900-06-15 12:12:34,Linux_2k.log,INFO,error;security,218.188.2.4,,,combo sshd(pam_unix)[23396]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=,34
1900-06-15 12:12:34,Linux_2k.log,INFO,error;security,218.188.2.4,,,combo sshd(pam_unix)[23407]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=,35
1900-06-15 12:12:34,Linux_2k.log,INFO,error;security,218.188.2.4,,,combo sshd(pam_unix)[23403]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=,36
1900-06-15 12:12:34,Linux_2k.log,INFO,,,,,combo sshd(pam_unix)[23412]: check pass; user unknown,37
1900-06-15 12:12:34,Linux_2k.log,INFO,error;security,218.188.2.4,,,combo sshd(pam_unix)[23412]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=,38
1900-06-15 12:13:19,Linux_2k.log,INFO,,,,,combo sshd(pam_unix)[23414]: check pass; user unknown,39
